,author_id,Author
0,1000001,আতিউর রহমান
1,1000002,রবীন্দ্রনাথ ঠাকুর
2,1000003,জিল্লুর রহমান সিদ্দিকী
3,1000004,শাহরিয়ার কবির
4,1000005,মুনতাসীর মামুন
5,1000006,ড. হারুণ অর রশিদ
6,1000007,ফজলুল আলম
7,1000008,ড. ফজলুল করীম
8,1000009,মুস্তাফা জামান আব্বাসী
9,1000010,নাসির আলী মামুন
10,1000011,আসিফ নজরুল
11,1000012,আমীরুল ইসলাম
12,1000013,"মেজর জেনারেল (অব:) সৈয়দ মুহাম্মদ ইবরাহিম,বীরপ্রতীক"
13,1000014,অরুণ চৌধুরী
14,1000015,আসমা আব্বাসী
15,1000016,হুমায়ূন আহমেদ
16,1000017,ধীরাজ কুমার নাথ
17,1000018,সাকিল চৌধুরী
18,1000019,নাশিদ কামাল
19,1000020,হাসানআল আব্দুল্লাহ
20,1000021,হাসিনা আহমেদ
21,1000022,ইমদাদুল হক মিলন
22,1000023,ফররুখ আহমদ
23,1000024,আল মাহমুদ
24,1000025,সৈয়দ শামসুল হক
25,1000026,"পাবলো নেরুদা , অধ্যাপক ড. সফিউদ্দিন আহমেদ"
26,1000027,দাউদ হায়দার
27,1000028,রবিশঙ্কর মৈত্রী
28,1000029,জাকির আবু জাফর
29,1000030,রহমান মোহাম্মদ লুত্‌ফর
30,1000031,মাহবুব আলম
31,1000032,রাবেয়া খাতুন
32,1000033,মিনা ফারাহ
33,1000034,জামাল রেজা
34,1000035,মোহাম্মদ রহমতউল্লাহ
35,1000036,মাহমুদা নূপুর
36,1000037,তৌহিদুর রহমান
37,1000038,সাগরিকা নাসরিন
38,1000039,রেজাউল করিম
39,1000040,রীআ মাহমুদ
40,1000041,সুমন্ত রায়
41,1000042,সীমান্ত খোকন
42,1000043,সাজিদ এহসান
43,1000044,আনিসুল হক
44,1000045,ফরিদুর রেজা সাগর
45,1000046,লুৎফর রহমান রিটন
46,1000047,মোস্তফা মামুন
47,1000048,হাফিজ আল ফারুকী
48,1000049,শুজা রশীদ
49,1000050,শাকিল ফারুক
50,1000051,রাজেশ্বরী কৈকেয়ী সিদ্দিক
51,1000052,আসলাম সানী
