"ISBN","TITLE","EDITION","NO OF PAGES","LANGUAGE","PRICE","AUTHOR ID","PUBLISHER ID","CATEGORY ID","BOOK ID","IMAGE_SRC"
"98257732","সুশাসনের সন্ধানে","1","215","Bangla","325","1000001","100001","1","10000001","https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/71d819b94_1.jpg"
"0","নির্বাচিত প্রবন্ধ","1","0","Bangla","420","1000001","100001","2","10026977","https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/90c0529fd_30755.jpg"
"0","উন্নয়ন কার জন্য","1","0","Bangla","225","1000001","100001","3","10026980","https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/cee5331eb_30758.jpg"
"0","অধিকারভিত্তিক উন্নয়ন","2","0","Bangla","275","1000001","100001","4","10026983","https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/c8bdb50ef_30761.jpg"
"0","মানবিক ব্যাংকিং","2","0","Bangla","450","1000001","100001","5","10060654","https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/ae2739468_78184.jpg"
"95800000","তব ভুবনে তব ভবনে","1","360","Bangla","600","1000001","100001","6","10069074","https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/06002d85a_93467.jpg"
"59000000","বুনে গেলাম আশার স্বপন-গভর্নরের দিনলিপি (মে ২০০৯-মার্চ ২০১৬)","1","832","Bangla","1500","1000001","100001","7","10092347","https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/9b845dd7e0b4_133603.jpg"
"0","নির্বাচিত প্রবন্ধ","1","0","Bangla","200","1000003","100001","2","10026942","https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/f22316e5b_30720.jpg"
"0","নির্বাচিত প্রবন্ধ","1","0","Bangla","275","1000005","100001","2","10026974","https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/eb379125e_30752.jpg"
"0","ক্রান্তিকালে প্রতারক","2","0","Bangla","85","1000007","100001","8","10027399","https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/59fd79d19_31219.jpg"
"0","অস্বচ্ছ দূরবীন","2","0","Bangla","70","1000007","100001","8","10027401","https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/15563edaf_31221.jpg"
"3430000","পুড়িব একাকী","2","320","Bangla","500","1000009","100001","8","10044538","https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/856164051_53890.jpg"
"2340000","হুমায়ূন আহমেদ : অনন্ত জীবন যদি","1","96","Bangla","800","1000010","100001","9","10080796","https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/456d526022a4_113105.gif"
"0","যুদ্ধাপরাধীর বিচার : জাহানারা ইমামের চিঠি","2","0","Bangla","120","1000011","100001","10","10026932","https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/img_30709.gif"
"49000000","নির্বাচিত ১০০ ছড়া","3","160","Bangla","300","1000012","100001","11","10065287","https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/imgrok_39007.GIF"
"4530","মুক্তিযুদ্ধের ১০০ ছড়া","3","120","Bangla","250","1000012","100001","11","10089270","https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/94b9913238a4_129341.jpg"
"24325433","রূপার পালঙ্ক","2","88","Bangla","200","1000016","100001","8","10000851","https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/imgrok_20141214_898.gif"
"5433452","অদ্ভুত সব উপন্যাস","2","368","Bangla","600","1000016","100001","11","10000853","https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/63bfb202d_900.jpg"
"53300000","কানী ডাইনী","2","16","Bangla","150","1000016","100001","12","10000857","https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/img141201_906.gif"
"3334245232","বৃষ্টি বিলাস","1","104","Bangla","200","1000016","100001","8","10000859","""https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/7b32142666f4_908.gif"
