"ID","APP","NAME","APPLIED"
"1","contenttypes","0001_initial","16/7/2020 16:56:57.057092"
"2","auth","0001_initial","16/7/2020 16:56:57.647086"
"3","admin","0001_initial","16/7/2020 16:56:58.4091"
"4","admin","0002_logentry_remove_auto_add","16/7/2020 16:56:58.704088"
"5","admin","0003_logentry_add_action_flag_choices","16/7/2020 16:56:58.774088"
"6","contenttypes","0002_remove_content_type_name","16/7/2020 16:57:00.585094"
"7","auth","0002_alter_permission_name_max_length","16/7/2020 16:57:00.792101"
"8","auth","0003_alter_user_email_max_length","16/7/2020 16:57:00.932088"
"9","auth","0004_alter_user_username_opts","16/7/2020 16:57:01.0021"
"10","auth","0005_alter_user_last_login_null","16/7/2020 16:57:01.146091"
"11","auth","0006_require_contenttypes_0002","16/7/2020 16:57:01.225088"
"12","auth","0007_alter_validators_add_error_messages","16/7/2020 16:57:01.326087"
"13","auth","0008_alter_user_username_max_length","16/7/2020 16:57:01.449098"
"14","auth","0009_alter_user_last_name_max_length","16/7/2020 16:57:01.580091"
"15","auth","0010_alter_group_name_max_length","16/7/2020 16:57:01.725098"
"16","auth","0011_update_proxy_permissions","16/7/2020 16:57:01.849091"
"17","sessions","0001_initial","16/7/2020 16:57:02.003097"
